RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.5 6.31 27.5 5.67843 5.9273 0.0999402
47.5 6.31 29.5 6.60125 6.6819 0.0999402
47.5 6.31 31.5 7.60419 7.4919 0.0999402
47.5 6.31 33.5 8.68726 8.3573 0.0999402
47.5 6.31 35.5 9.85048 9.2778 0.0999402
47.5 6.31 37.5 11.0939 10.2535 0.0999402
47.5 6.31 39.5 12.4174 11.2851 0.0999402
47.5 6.31 41.5 13.8212 12.3701 0.0999402
******************************
              e=              -0.5845
*******TSD1********
47.5 6.71 8.5 0.0956857 0.1966 0.0994945
47.5 6.71 10.5 0.271395 0.4597 0.0994945
47.5 6.71 12.5 0.527155 0.7746 0.0994945
47.5 6.71 14.5 0.862985 1.1609 0.0994945
47.5 6.71 16.5 1.2789 1.6112 0.0994945
47.5 6.71 18.5 1.77492 2.1265 0.0994945
47.5 6.71 20.5 2.35106 2.7051 0.0994945
47.5 6.71 22.5 3.00732 3.3441 0.0994945
47.5 6.71 24.5 3.74372 4.0411 0.0994945
47.5 6.71 26.5 4.56026 4.7937 0.0994945
47.5 6.71 28.5 5.45695 5.5992 0.0994945
47.5 6.71 30.5 6.4338 6.457 0.0994945
47.5 6.71 32.5 7.49081 7.3667 0.0994945
47.5 6.71 34.5 8.62799 8.3293 0.0994945
47.5 6.71 36.5 9.84533 9.3458 0.0994945
47.5 6.71 38.5 11.1429 10.4169 0.0994945
47.5 6.71 40.5 12.5206 11.5431 0.0994945
47.5 6.71 42.5 13.9784 12.7224 0.0994945
47.5 6.71 44.5 15.5165 13.9491 0.0994945
47.5 6.71 46.5 17.1347 15.2181 0.0994945
47.5 6.71 48.5 18.8332 16.5221 0.0994945
*******TSD2********
47.5 6.71 13.5 0.709056 1.3394 0.0994945
47.5 6.71 15.5 1.05295 1.7467 0.0994945
47.5 6.71 17.5 1.47685 2.2184 0.0994945
47.5 6.71 19.5 1.98078 2.7527 0.0994945
47.5 6.71 21.5 2.56479 3.3484 0.0994945
47.5 6.71 23.5 3.22888 4.003 0.0994945
47.5 6.71 25.5 3.97309 4.7143 0.0994945
47.5 6.71 27.5 4.79743 5.4805 0.0994945
47.5 6.71 29.5 5.70191 6.3004 0.0994945
47.5 6.71 31.5 6.68655 7.1733 0.0994945
47.5 6.71 33.5 7.75136 8.0998 0.0994945
47.5 6.71 35.5 8.89635 9.08 0.0994945
47.5 6.71 37.5 10.1215 10.1147 0.0994945
47.5 6.71 39.5 11.4269 11.2036 0.0994945
47.5 6.71 41.5 12.8125 12.3466 0.0994945
47.5 6.71 43.5 14.2782 13.5441 0.0994945
47.5 6.71 45.5 15.8242 14.7911 0.0994945
*******TSD3********
47.5 6.71 16.5 1.24292 2.1237 0.0994945
47.5 6.71 18.5 1.67479 2.6293 0.0994945
47.5 6.71 20.5 2.18664 3.1973 0.0994945
47.5 6.71 22.5 2.77851 3.8243 0.0994945
47.5 6.71 24.5 3.45044 4.5094 0.0994945
47.5 6.71 26.5 4.20246 5.2506 0.0994945
47.5 6.71 28.5 5.0346 6.0465 0.0994945
47.5 6.71 30.5 5.94687 6.8963 0.0994945
47.5 6.71 32.5 6.93931 7.7988 0.0994945
47.5 6.71 34.5 8.01192 8.7546 0.0994945
